Country,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11
Australia,0.1,0.1,0.1,0.1,0.1,0.35,0.85,1.35,1.85,2.35,2.6,2.85
Canada,0.25,0.25,0.25,0.5,1,1,1.5,2.5,2.5,3.25,3.75,3.75
Germany,0,0,0,0,0,0,0,0.5,1.25,2,2,2.5
European Union,0,0,0,0,0,0,0,0.5,1.25,2,2,2.5
France,0,0,0,0,0,0,0,0.5,1.25,2,2,2.5
Italy,0,0,0,0,0,0,0,0.5,1.25,2,2,2.5
Japan,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
New Zealand,0.75,0.75,1,1,1.5,2,2,2.5,3,3,3.5,4.25
Russia,8.5,8.5,20,20,17,11,9.5,8,7.5,7.5,7.5,7.5
Switzerland,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.25,-0.25,-0.25,-0.25,0.5,0.5
United States,0.08,0.08,0.08,0.33,0.33,0.83,1.58,2.33,2.33,3.08,3.08,3.83
